code,name
WRE_car_amt,Car expenses
WRE_trvl_amt,Travel expenses
WRE_uniform_amt,Uniform expenses
WRE_self_amt,Self education expenses
WRE_other_amt,Other work expenses
Div_Ded_amt,Dividend Deductions
Intrst_Ded_amt,Interest Deductions
Gift_amt,Gifts or donation deductions
Non_emp_spr_amt,Personal super contributions
Cost_tax_affairs_amt,Cost of managing tax affairs
Other_Ded_amt,Other deductions
